	age	workclass	education	education_num	marital_status	occupation	relationship	race	sex	capital_gain	capital_loss	hours_per_week	native_country	income
0	65	 Self-emp-inc	 Masters	2	 Married-AF-spouse	 Priv-house-serv	 Other-relative	 Black	 Female	69314	2643	61	 Mexico	 <=50K
1	62	 Self-emp-not-inc	 Bachelors	13	 Never-married	 Prof-specialty	 Own-child	 Asian-Pac-Islander	 Male	38902	3275	51	 France	 >50K
2	67	 Self-emp-inc	 Doctorate	7	 Never-married	 Priv-house-serv	 Unmarried	 Black	 Male	24970	2053	71	 Greece	 <=50K
3	48	 Private	 5th-6th	4	 Married-spouse-absent	 Other-service	 Other-relative	 Other	 Male	58520	521	49	 Poland	 <=50K
4	62	 Self-emp-inc	 HS-grad	7	 Married-spouse-absent	 Machine-op-inspct	 Own-child	 Black	 Female	44203	2501	52	 Haiti	 <=50K
5	30	 Self-emp-inc	 12th	15	 Married-spouse-absent	 Handlers-cleaners	 Other-relative	 Black	 Female	72060	1247	31	 Puerto-Rico	 >50K
6	51	 Private	 5th-6th	6	 Married-spouse-absent	 Priv-house-serv	 Other-relative	 Black	 Female	36828	800	44	 Poland	 <=50K
7	39	 Self-emp-inc	 1st-4th	12	 Married-civ-spouse	 Machine-op-inspct	 Own-child	 Asian-Pac-Islander	 Female	70199	1779	57	 Puerto-Rico	 >50K
8	35	 Self-emp-not-inc	 12th	7	 Married-spouse-absent	 Farming-fishing	 Husband	 Black	 Female	77301	920	27	 Taiwan	 >50K
9	79	 Private	 Masters	9	 Married-civ-spouse	 Priv-house-serv	 Unmarried	 Black	 Male	41821	2210	64	 Greece	 <=50K
10	79	 Private	 Doctorate	6	 Married-civ-spouse	 Prof-specialty	 Own-child	 Black	 Male	41793	1431	60	 Haiti	 <=50K
11	39	 Self-emp-not-inc	 5th-6th	10	 Married-spouse-absent	 Exec-managerial	 Other-relative	 Other	 Male	52613	1259	59	 Ireland	 <=50K
12	60	 Self-emp-inc	 HS-grad	6	 Married-spouse-absent	 Machine-op-inspct	 Other-relative	 Other	 Male	28811	2446	53	 Japan	 <=50K
13	68	 Self-emp-inc	 Bachelors	5	 Married-AF-spouse	 Prof-specialty	 Not-in-family	 Other	 Female	61102	1309	29	 Laos	 <=50K
14	48	 Private	 9th	4	 Married-AF-spouse	 Handlers-cleaners	 Not-in-family	 Other	 Female	60485	1463	48	 Portugal	 <=50K
15	42	 Self-emp-not-inc	 Bachelors	12	 Never-married	 Machine-op-inspct	 Unmarried	 Asian-Pac-Islander	 Female	41290	3689	66	 Hong	 >50K
16	27	 Self-emp-not-inc	 1st-4th	6	 Married-spouse-absent	 Handlers-cleaners	 Not-in-family	 Black	 Female	69131	1370	29	 South	 <=50K
17	57	 Self-emp-inc	 7th-8th	7	 Married-spouse-absent	 Machine-op-inspct	 Other-relative	 Black	 Female	48061	1066	40	 Jamaica	 <=50K
18	37	 Self-emp-not-inc	 1st-4th	10	 Married-civ-spouse	 Farming-fishing	 Not-in-family	 Black	 Female	71297	2337	34	 Philippines	 <=50K
