	age	workclass	education	education_num	marital_status	occupation	relationship	race	sex	capital_gain	capital_loss	hours_per_week	native_country	income
0	54	 Private	 Assoc-voc	8	 Married-spouse-absent	 Machine-op-inspct	 Own-child	 Black	 Male	49037	3273	43	 Honduras	 >50K
1	30	 Self-emp-inc	 Assoc-acdm	12	 Married-civ-spouse	 Protective-serv	 Own-child	 Other	 Male	77251	1929	17	 Scotland	 >50K
2	66	 Self-emp-inc	 5th-6th	6	 Never-married	 Handlers-cleaners	 Other-relative	 Other	 Male	25270	3205	65	 Italy	 >50K
3	33	 Self-emp-inc	 9th	11	 Married-civ-spouse	 Prof-specialty	 Own-child	 Black	 Female	82766	3466	23	 Jamaica	 >50K
4	71	 State-gov	 Bachelors	10	 Married-AF-spouse	 Protective-serv	 Unmarried	 Black	 Female	48776	1438	19	 France	 <=50K
5	27	 Self-emp-not-inc	 Assoc-voc	6	 Married-civ-spouse	 Machine-op-inspct	 Unmarried	 Black	 Female	80229	3469	29	 Jamaica	 <=50K
6	78	 Self-emp-not-inc	 Doctorate	13	 Married-spouse-absent	 Prof-specialty	 Own-child	 Amer-Indian-Eskimo	 Female	31421	1928	22	 Laos	 >50K
7	61	 Private	 Doctorate	5	 Never-married	 Handlers-cleaners	 Other-relative	 Black	 Female	70311	2716	84	 Germany	 <=50K
8	75	 Local-gov	 7th-8th	10	 Never-married	 Handlers-cleaners	 Other-relative	 Asian-Pac-Islander	 Male	13954	2669	63	 Scotland	 >50K
9	44	 Self-emp-inc	 Assoc-acdm	6	 Married-civ-spouse	 Other-service	 Other-relative	 Other	 Female	81479	2523	19	 Puerto-Rico	 >50K
10	34	 Self-emp-inc	 Assoc-acdm	8	 Married-AF-spouse	 Other-service	 Unmarried	 Asian-Pac-Islander	 Female	70080	2715	41	 Hungary	 <=50K
11	53	 Self-emp-not-inc	 9th	6	 Married-civ-spouse	 Priv-house-serv	 Own-child	 Other	 Female	57495	2805	40	 Greece	 <=50K
12	64	 Self-emp-inc	 5th-6th	11	 Married-civ-spouse	 Prof-specialty	 Own-child	 Black	 Female	49050	2735	25	 Holand-Netherlands	 <=50K
13	43	 Local-gov	 Doctorate	11	 Married-spouse-absent	 Machine-op-inspct	 Other-relative	 Black	 Male	73913	1550	40	 Honduras	 <=50K
14	83	 Self-emp-not-inc	 12th	12	 Married-civ-spouse	 Machine-op-inspct	 Own-child	 Asian-Pac-Islander	 Female	10626	2020	75	 Greece	 <=50K
15	50	 Private	 Masters	9	 Separated	 Prof-specialty	 Other-relative	 Black	 Male	30161	599	37	 Hong	 >50K
16	83	 Self-emp-not-inc	 1st-4th	12	 Married-civ-spouse	 Other-service	 Own-child	 Asian-Pac-Islander	 Female	11076	2513	49	 Greece	 <=50K
17	59	 State-gov	 Doctorate	6	 Married-spouse-absent	 Priv-house-serv	 Unmarried	 Black	 Female	81722	2085	43	 Iran	 <=50K
18	77	 Self-emp-inc	 HS-grad	12	 Never-married	 Prof-specialty	 Own-child	 Asian-Pac-Islander	 Female	22390	1473	22	 Hungary	 >50K
19	38	 Private	 Bachelors	5	 Married-spouse-absent	 Handlers-cleaners	 Other-relative	 Black	 Male	81104	2976	44	 Greece	 <=50K
20	23	 Self-emp-not-inc	 Preschool	8	 Married-AF-spouse	 Prof-specialty	 Own-child	 Black	 Female	89616	2440	43	 Germany	 >50K
21	68	 Self-emp-inc	 7th-8th	8	 Married-AF-spouse	 Farming-fishing	 Own-child	 Other	 Female	63885	3021	59	 Holand-Netherlands	 <=50K
22	57	 Private	 Doctorate	11	 Married-AF-spouse	 Priv-house-serv	 Own-child	 Black	 Female	65067	1815	35	 England	 <=50K
23	41	 Self-emp-not-inc	 Masters	6	 Married-spouse-absent	 Farming-fishing	 Own-child	 Other	 Female	65923	2415	42	 Poland	 >50K
24	30	 State-gov	 Preschool	6	 Married-AF-spouse	 Sales	 Own-child	 Other	 Female	64358	2262	9	 Italy	 >50K
25	31	 Self-emp-not-inc	 Masters	8	 Married-spouse-absent	 Priv-house-serv	 Own-child	 Black	 Male	62792	2454	25	 Scotland	 >50K
26	73	 Local-gov	 11th	10	 Married-civ-spouse	 Craft-repair	 Other-relative	 Black	 Male	40639	3900	88	 Japan	 >50K
